codigo_a, codigo_b, nome, classe
3462,10,VL. SANTANA / METRÔ TATUAPÉ,Diurno
351F,10,JAÇANÃ / TERM. VL. CARRÃO,Diurno
352A,10,JD. HELENA / TERM. SÃO MATEUS,Diurno
3539,10,CID. TIRADENTES / METRÔ BRESSER,Diurno
354M,10,TERM. SÃO MIGUEL / TERM. SÃO MATEUS,Diurno
364A,10,HOSP. IPIRANGA / SHOP. ARICANDUVA,Diurno
3686,21,JD. SÃO PAULO / METRÔ VL. MATILDE,Diurno
3686,10,JD. SÃO PAULO / TERM. PQ. D. PEDRO II,Diurno
3712,51,VL. COSMOPOLITA / METRÔ ITAQUERA,Diurno
3712,10,JD. SÃO JOÃO / METRÔ ITAQUERA,Diurno
3718,10,METRÔ ARTUR ALVIM / NOVA AMERICA,Diurno
3721,41,SHOP. ARICANDUVA / METRÔ ITAQUERA,Diurno
3721,10,SHOP. ARICANDUVA / METRÔ ARTUR ALVIM,Diurno
3722,10,COHAB JOSÉ BONIFÁCIO / METRÔ PENHA,Diurno
3725,41,METRÔ VL. MATILDE / VL. ARICANDUVA,Diurno
3725,10,METRÔ VL. MATILDE / VL. DALILA,Diurno
3728,41,METRÔ ARTUR ALVIM / PQ. NOVA SAVOY,Diurno
3728,10,METRÔ ARTUR ALVIM / PQ. SAVOY CITY,Diurno
3729,10,SHOP. ARICANDUVA / METRÔ CARRÃO,Diurno
372F,10,UNIV. SÃO JUDAS TADEU / METRÔ BRESSER,Diurno
372U,10,VL. STA. ISABEL / METRÔ TATUAPÉ,Diurno
3731,10,SHOP. ARICANDUVA / METRÔ VL. MATILDE,Diurno
3732,10,CPTM JOSÉ BONIFÁCIO / METRÔ ITAQUERA,Diurno
3734,10,CID. LIDER / METRÔ ARTUR ALVIM,Diurno
3735,41,METRÔ ARTUR ALVIM / JD. SÃO JOSÉ,Diurno
3735,21,METRÔ ARTUR ALVIM / JD. SÃO JOÃO ,Diurno
3735,10,METRÔ ARTUR ALVIM / JD. SÃO JOÃO ,Diurno
3736,10,JD. NSA. SRA. DO CARMO / METRÔ ARTUR ALVIM,Diurno
3737,31,METRÔ GUILHERMINA/ESPERANÇA  / CIRCULAR,Diurno
3737,10,SHOP. ARICANDUVA / METRÔ GUILHERMINA/ESPERANÇA,Diurno
3738,10,COHAB JUSCELINO / METRÔ ITAQUERA,Diurno
3739,10,RECANTO VERDE SOL / METRÔ ITAQUERA,Diurno
373L,10,JD. LIMOEIRO / METRÔ ITAQUERA,Diurno
373M,10,JD. GUAIRACÁ / SHOP. METRÔ TATUAPÉ,Diurno
